epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10794,0.82962,3.26816,1.18584,0.00286,0.8931,0.25458,0.20735,0.60965,2.98,1.01289,0.00027151,0.00027151,0.00027151
2,5.50586,0.80748,2.69218,1.18546,0.49614,0.05974,0.29692,0.22633,0.71522,2.66194,1.13386,0.000546275,0.000546275,0.000546275
3,7.96874,0.81449,2.44309,1.16541,0.31824,0.62241,0.34222,0.27179,0.71842,2.27401,1.10465,0.000809723,0.000809723,0.000809723
4,10.4148,0.8737,2.42529,1.21701,0.333,0.4671,0.33382,0.22834,0.81583,2.39753,1.2458,0.00106185,0.00106185,0.00106185
5,12.6758,0.86054,2.39627,1.18121,0.3519,0.61278,0.47347,0.31705,0.87536,2.21307,1.2826,0.00130266,0.00130266,0.00130266
6,14.9196,0.87711,2.16097,1.16815,0.4161,0.6832,0.53482,0.35301,0.94977,2.37547,1.43368,0.00128753,0.00128753,0.00128753
7,17.1078,0.87272,2.07471,1.19249,0.57262,0.67891,0.67236,0.44845,0.99928,2.35794,1.35141,0.00125923,0.00125923,0.00125923
8,19.2583,0.86553,1.93192,1.21931,0.65348,0.78223,0.78423,0.62584,0.75959,1.97494,1.17224,0.00123094,0.00123094,0.00123094
9,21.3891,0.77357,1.74836,1.14185,0.83415,0.70417,0.85103,0.66913,0.78825,1.4469,1.1201,0.00120265,0.00120265,0.00120265
10,23.495,0.84397,1.52938,1.13807,0.74426,0.82727,0.86868,0.67333,0.83503,1.45859,1.15068,0.00117435,0.00117435,0.00117435
11,25.7367,0.87854,1.47431,1.2018,0.75169,0.74144,0.83135,0.64669,0.73264,1.59902,1.1133,0.00114606,0.00114606,0.00114606
12,28.0008,0.872,1.47515,1.17342,0.83389,0.85189,0.92064,0.72851,0.704,1.29042,1.08156,0.00111776,0.00111776,0.00111776
13,30.3242,0.77811,1.37378,1.12205,0.86812,0.94499,0.95158,0.76889,0.70245,1.1791,1.07939,0.00108947,0.00108947,0.00108947
14,32.6869,0.78489,1.32858,1.11958,0.91772,0.87996,0.93704,0.74734,0.68772,1.3501,1.08078,0.00106118,0.00106118,0.00106118
15,35.0889,0.77703,1.28581,1.13072,0.90127,0.94194,0.97411,0.81166,0.65203,1.04344,1.04229,0.00103288,0.00103288,0.00103288
16,37.5019,0.77497,1.28985,1.12506,0.90968,0.86003,0.95921,0.76512,0.73683,1.07824,1.09317,0.00100459,0.00100459,0.00100459
17,39.9213,0.74264,1.23919,1.09451,0.94727,0.85306,0.98106,0.81269,0.61114,1.05115,1.01944,0.000976293,0.000976293,0.000976293
18,42.5391,0.74918,1.23556,1.12377,0.94219,0.97813,0.98638,0.84027,0.5881,0.87012,0.99806,0.000947999,0.000947999,0.000947999
19,45.0118,0.7488,1.14073,1.0895,0.94575,0.97858,0.98856,0.84431,0.59508,0.88188,1.00845,0.000919704,0.000919704,0.000919704
20,47.5333,0.7349,1.13961,1.11196,0.9362,0.96338,0.98975,0.86235,0.559,0.97974,0.99697,0.00089141,0.00089141,0.00089141
21,50.0846,0.74967,1.10438,1.08471,0.9691,0.98268,0.99326,0.8467,0.61062,0.82335,1.00757,0.000863116,0.000863116,0.000863116
22,52.5249,0.76466,1.08278,1.12011,0.95735,0.96778,0.99168,0.82703,0.64964,0.84629,1.04798,0.000834822,0.000834822,0.000834822
23,54.9221,0.78809,1.13239,1.16192,0.99674,0.92751,0.99193,0.85152,0.56999,0.86391,1.00416,0.000806528,0.000806528,0.000806528
24,57.4064,0.77069,1.13415,1.15949,0.91875,0.95957,0.97998,0.81953,0.59416,0.84534,1.0195,0.000778233,0.000778233,0.000778233
25,59.8182,0.71958,1.02997,1.08005,0.98303,1,0.995,0.86734,0.55099,0.67654,0.98265,0.000749939,0.000749939,0.000749939
26,62.199,0.67215,0.97898,1.0614,0.98828,0.99698,0.99461,0.86375,0.55654,0.63305,0.96838,0.000721645,0.000721645,0.000721645
27,64.5116,0.68362,0.95442,1.05089,0.98334,0.99815,0.99381,0.87343,0.50577,0.62415,0.95621,0.000693351,0.000693351,0.000693351
28,66.7884,0.66602,0.95886,1.0602,0.99043,0.99976,0.99461,0.88344,0.51603,0.58629,0.95385,0.000665057,0.000665057,0.000665057
